@relation aux
@attribute Sexe {'Femme','Homme'}
@attribute Origine_Ethnique {'Caucasien','Maghreb Moyen Orient','Afrique sub saharienne','Hispanique','Metisse','Afro Americain','Asie du Sud est'}
@attribute Age numeric
@attribute Poids numeric
@attribute Taille numeric
@attribute pain_biscottes_cereales {'Une fois par jour','Plusieurs fois par jour','Jamais','Plusieurs fois par semaine','Occasionnellement'}
@attribute riz_pates_semoule_pommes_de_terre {'Une fois par jour','Occasionnellement','Plusieurs fois par jour','Plusieurs fois par semaine','Jamais'}
@attribute legumes_secs {'Plusieurs fois par semaine','Occasionnellement','Une fois par jour','Jamais','Plusieurs fois par jour'}
@attribute legumes {'Plusieurs fois par jour','Une fois par jour','Plusieurs fois par semaine','Occasionnellement','Jamais'}
@attribute fruits {'Plusieurs fois par jour','Plusieurs fois par semaine','Une fois par jour','Occasionnellement','Jamais'}
@attribute produits_laitiers {'Plusieurs fois par jour','Occasionnellement','Une fois par jour','Plusieurs fois par semaine','Jamais'}
@attribute viande_ou_oeufs {'Une fois par jour','Plusieurs fois par semaine','Plusieurs fois par jour','Occasionnellement','Jamais'}
@attribute poisson {'Plusieurs fois par semaine','Occasionnellement','Une fois par jour','Jamais','Plusieurs fois par jour'}
@attribute plats_prets_a_consommer {'Jamais','Occasionnellement','Plusieurs fois par semaine','Une fois par jour','Plusieurs fois par jour'}
@attribute produits_sucres {'Jamais','Occasionnellement','Plusieurs fois par semaine','Une fois par jour','Plusieurs fois par jour'}
@attribute biscuits_aperitif {'Occasionnellement','Jamais','Plusieurs fois par semaine','Une fois par jour','Plusieurs fois par jour'}
@attribute complements_alimentaires {'Plusieurs fois par semaine','Plusieurs fois par jour','Jamais','Une fois par jour','Occasionnellement'}
@attribute boissons_sucrees {'Jamais','Occasionnellement','Plusieurs fois par semaine','Plusieurs fois par jour','Une fois par jour'}
@attribute boissons_alcoolisees {'Plusieurs fois par semaine','Occasionnellement','Jamais','Plusieurs fois par jour','Une fois par jour'}
@attribute class {'1','2'}
@data
'Femme','Caucasien',56,76,168,'Une fois par jour','Une fois par jour','Plusieurs fois par semaine','Plusieurs fois par jour','Plusieurs fois par jour','Plusieurs fois par jour','Une fois par jour','Plusieurs fois par semaine','Jamais','Jamais','Occasionnellement','Plusieurs fois par semaine','Jamais','Plusieurs fois par semaine','2'
'Femme',?,61,57,164,'Plusieurs fois par jour','Occasionnellement','Occasionnellement','Une fois par jour','Plusieurs fois par semaine','Occasionnellement','Plusieurs fois par semaine','Occasionnellement','Occasionnellement','Occasionnellement','Occasionnellement','Plusieurs fois par jour','Occasionnellement','Occasionnellement','1'
'Femme',?,8,31,145,'Plusieurs fois par jour','Une fois par jour','Occasionnellement','Plusieurs fois par semaine','Une fois par jour','Une fois par jour','Plusieurs fois par semaine','Plusieurs fois par semaine','Jamais','Plusieurs fois par semaine','Occasionnellement','Jamais','Occasionnellement','Jamais','1'
'Homme','Caucasien',22,67,178,'Plusieurs fois par jour','Une fois par jour','Plusieurs fois par semaine','Une fois par jour','Une fois par jour','Plusieurs fois par jour','Une fois par jour','Plusieurs fois par semaine','Occasionnellement','Plusieurs fois par semaine','Jamais','Jamais','Plusieurs fois par semaine','Plusieurs fois par semaine','1'
'Femme',?,23,50,162,'Plusieurs fois par jour','Plusieurs fois par jour','Plusieurs fois par semaine','Plusieurs fois par jour','Une fois par jour','Plusieurs fois par semaine','Une fois par jour','Plusieurs fois par semaine','Occasionnellement','Une fois par jour','Plusieurs fois par semaine','Jamais','Jamais','Occasionnellement','1'
'Homme',?,39,95,193,'Plusieurs fois par jour','Une fois par jour','Plusieurs fois par semaine','Une fois par jour','Plusieurs fois par semaine','Plusieurs fois par jour','Plusieurs fois par jour','Plusieurs fois par semaine','Occasionnellement','Plusieurs fois par jour','Plusieurs fois par semaine','Jamais','Occasionnellement','Plusieurs fois par jour','2'
'Homme',?,38,84,172,'Jamais','Une fois par jour','Occasionnellement','Une fois par jour','Plusieurs fois par semaine','Plusieurs fois par jour','Une fois par jour','Occasionnellement','Jamais','Occasionnellement','Occasionnellement','Jamais','Occasionnellement','Occasionnellement','2'
'Femme',?,73,54,150,'Plusieurs fois par jour','Occasionnellement','Occasionnellement','Plusieurs fois par jour','Plusieurs fois par jour','Plusieurs fois par jour','Plusieurs fois par jour','Occasionnellement','Jamais','Jamais','Jamais','Une fois par jour','Jamais','Jamais','1'
'Femme',?,8,25,135,'Plusieurs fois par jour','Une fois par jour','Occasionnellement','Une fois par jour','Plusieurs fois par jour','Plusieurs fois par jour','Plusieurs fois par semaine','Plusieurs fois par semaine','Occasionnellement','Plusieurs fois par jour','Plusieurs fois par semaine','Jamais','Plusieurs fois par semaine','Jamais','1'
'Femme',?,23,57,177,'Plusieurs fois par jour','Plusieurs fois par semaine','Occasionnellement','Une fois par jour','Plusieurs fois par jour','Plusieurs fois par jour','Plusieurs fois par semaine','Plusieurs fois par semaine','Occasionnellement','Plusieurs fois par semaine','Occasionnellement','Jamais','Occasionnellement','Occasionnellement','1'
