@relation aux
@attribute Sex {'female','male'}
@attribute DVRT numeric
@attribute Educational_level {'3rd_level_complete','3rd_level_incomplete','Junior_cycle_incomplete-secondary_school','Junior_cycle_incomplete-vocational_school','Junior_cycle_terminal_leaver-secondary_school','Junior_cycle_terminal_leaver-vocational_school','Primary_terminal_leaver','Senior_cycle_incomplete-secondary_school','Senior_cycle_incomplete-vocational_school','Senior_cycle_terminal_leaver-secondary_school'}
@attribute Prestige_score numeric
@attribute Type_school {'primary_terminal_leaver','secondary','vocational'}
@attribute class {'1','2'}
@data
'male',113,'Junior_cycle_incomplete-secondary_school',28,'secondary','1'
'male',101,'Primary_terminal_leaver',28,'primary_terminal_leaver','1'
'male',110,'Senior_cycle_terminal_leaver-secondary_school',69,'secondary','2'
'male',121,'Junior_cycle_terminal_leaver-secondary_school',57,'secondary','1'
'male',82,'Junior_cycle_terminal_leaver-vocational_school',18,'vocational','1'
'male',85,'Junior_cycle_terminal_leaver-vocational_school',28,'vocational','1'
'male',84,'Primary_terminal_leaver',?,'primary_terminal_leaver','1'
'male',98,'Junior_cycle_incomplete-vocational_school',43,'vocational','1'
'male',92,'Junior_cycle_terminal_leaver-vocational_school',33,'vocational','1'
'male',90,'Primary_terminal_leaver',18,'primary_terminal_leaver','1'
'male',88,'Junior_cycle_terminal_leaver-vocational_school',28,'vocational','1'
'male',84,'Junior_cycle_terminal_leaver-vocational_school',18,'vocational','1'
'male',114,'3rd_level_complete',18,'secondary','2'
'male',70,'Junior_cycle_terminal_leaver-vocational_school',57,'vocational','1'
'male',109,'Senior_cycle_terminal_leaver-secondary_school',40,'secondary','2'
'male',83,'Junior_cycle_terminal_leaver-vocational_school',43,'vocational','1'
'male',108,'Junior_cycle_terminal_leaver-vocational_school',69,'vocational','1'
'male',95,'Junior_cycle_incomplete-secondary_school',43,'secondary','1'
'male',90,'Junior_cycle_terminal_leaver-vocational_school',28,'vocational','1'
'male',107,'Senior_cycle_terminal_leaver-secondary_school',28,'secondary','2'
'male',86,'Primary_terminal_leaver',18,'primary_terminal_leaver','1'
'male',70,'Junior_cycle_incomplete-vocational_school',43,'vocational','1'
'male',114,'Senior_cycle_terminal_leaver-secondary_school',?,'secondary','2'
'male',117,'Senior_cycle_terminal_leaver-secondary_school',42,'secondary','2'
'male',112,'Senior_cycle_terminal_leaver-secondary_school',43,'secondary','2'
'male',88,'3rd_level_complete',?,'secondary','2'
'male',106,'3rd_level_complete',42,'secondary','2'
'male',125,'3rd_level_complete',28,'secondary','2'
'male',94,'Senior_cycle_terminal_leaver-secondary_school',?,'secondary','2'
'male',103,'Junior_cycle_terminal_leaver-secondary_school',?,'secondary','1'
'male',123,'Senior_cycle_terminal_leaver-secondary_school',46,'secondary','2'
'male',100,'Junior_cycle_terminal_leaver-vocational_school',35,'vocational','1'
'male',90,'Junior_cycle_incomplete-secondary_school',27,'secondary','1'
'male',70,'Junior_cycle_terminal_leaver-vocational_school',51,'vocational','1'
'male',90,'Junior_cycle_incomplete-secondary_school',46,'secondary','1'
'male',99,'Junior_cycle_incomplete-secondary_school',?,'secondary','1'
'male',123,'Junior_cycle_incomplete-secondary_school',43,'secondary','1'
'male',127,'Senior_cycle_terminal_leaver-secondary_school',43,'secondary','2'
'male',124,'Senior_cycle_terminal_leaver-secondary_school',62,'secondary','2'
'male',110,'Senior_cycle_incomplete-vocational_school',27,'vocational','1'
'male',94,'Senior_cycle_terminal_leaver-secondary_school',43,'secondary','2'
'male',112,'Senior_cycle_terminal_leaver-secondary_school',40,'secondary','2'
'male',123,'Senior_cycle_terminal_leaver-secondary_school',35,'secondary','2'
'male',70,'Junior_cycle_incomplete-secondary_school',18,'secondary','1'
'male',102,'Junior_cycle_terminal_leaver-vocational_school',43,'vocational','1'
'male',126,'3rd_level_complete',27,'secondary','2'
'male',121,'Senior_cycle_terminal_leaver-secondary_school',40,'secondary','2'
'male',100,'Junior_cycle_incomplete-vocational_school',43,'vocational','1'
'male',85,'Junior_cycle_incomplete-vocational_school',31,'vocational','1'
'male',86,'Junior_cycle_terminal_leaver-vocational_school',31,'vocational','1'
'male',101,'Junior_cycle_incomplete-vocational_school',28,'vocational','1'
'male',91,'Junior_cycle_terminal_leaver-secondary_school',40,'secondary','1'
'male',113,'Senior_cycle_terminal_leaver-secondary_school',43,'secondary','2'
'male',103,'Junior_cycle_terminal_leaver-vocational_school',33,'vocational','1'
'male',117,'Senior_cycle_incomplete-secondary_school',18,'secondary','1'
'male',72,'Junior_cycle_incomplete-vocational_school',43,'vocational','1'
'male',70,'Primary_terminal_leaver',18,'primary_terminal_leaver','1'
'male',112,'Junior_cycle_incomplete-secondary_school',18,'secondary','1'
'male',65,'Primary_terminal_leaver',18,'primary_terminal_leaver','1'
'male',97,'Junior_cycle_terminal_leaver-secondary_school',35,'secondary','1'
'male',100,'Junior_cycle_terminal_leaver-vocational_school',43,'vocational','1'
'male',99,'Junior_cycle_terminal_leaver-vocational_school',18,'vocational','1'
'male',91,'Junior_cycle_incomplete-vocational_school',28,'vocational','1'
'male',107,?,43,'secondary','1'
'male',94,'Junior_cycle_incomplete-vocational_school',43,'vocational','1'
'male',104,'Junior_cycle_terminal_leaver-secondary_school',36,'secondary','1'
'male',117,'Senior_cycle_terminal_leaver-secondary_school',?,'secondary','2'
'male',104,'Junior_cycle_terminal_leaver-secondary_school',43,'secondary','1'
'male',115,?,66,'secondary','1'
'female',123,'Senior_cycle_incomplete-secondary_school',35,'secondary','1'
'female',103,'Junior_cycle_terminal_leaver-secondary_school',43,'secondary','1'
'female',109,'Junior_cycle_terminal_leaver-vocational_school',43,'vocational','1'
'female',99,'Junior_cycle_terminal_leaver-secondary_school',61,'secondary','1'
'female',100,'3rd_level_complete',47,'secondary','2'
'female',100,'Junior_cycle_terminal_leaver-secondary_school',62,'secondary','1'
'female',107,'Senior_cycle_terminal_leaver-secondary_school',40,'secondary','2'
'female',70,'Primary_terminal_leaver',18,'primary_terminal_leaver','1'
'female',91,'Junior_cycle_terminal_leaver-secondary_school',30,'secondary','1'
'female',117,'Senior_cycle_terminal_leaver-secondary_school',43,'secondary','2'
'female',115,'Senior_cycle_terminal_leaver-secondary_school',57,'secondary','2'
'female',93,'Junior_cycle_terminal_leaver-secondary_school',43,'secondary','1'
'female',103,'Senior_cycle_terminal_leaver-secondary_school',30,'secondary','2'
'female',99,'Junior_cycle_terminal_leaver-secondary_school',57,'secondary','1'
'female',115,'Junior_cycle_incomplete-secondary_school',36,'secondary','1'
'female',104,'Senior_cycle_terminal_leaver-secondary_school',38,'secondary','2'
'female',116,'Junior_cycle_terminal_leaver-secondary_school',47,'secondary','1'
'female',94,'Junior_cycle_incomplete-secondary_school',51,'secondary','1'
'female',114,'3rd_level_complete',43,'secondary','2'
'female',113,'Junior_cycle_terminal_leaver-secondary_school',18,'secondary','1'
'female',106,'Junior_cycle_incomplete-vocational_school',?,'vocational','1'
'female',119,'Senior_cycle_terminal_leaver-secondary_school',57,'secondary','2'
'female',114,'Senior_cycle_terminal_leaver-secondary_school',48,'secondary','2'
'female',108,'Senior_cycle_terminal_leaver-secondary_school',27,'secondary','2'
'female',97,'Junior_cycle_incomplete-secondary_school',46,'secondary','1'
'female',83,'Primary_terminal_leaver',28,'primary_terminal_leaver','1'
'female',103,'Junior_cycle_terminal_leaver-secondary_school',43,'secondary','1'
'female',104,'Junior_cycle_terminal_leaver-secondary_school',64,'secondary','1'
'female',97,'Junior_cycle_terminal_leaver-secondary_school',18,'secondary','1'
'female',109,'Junior_cycle_terminal_leaver-secondary_school',69,'secondary','1'
'female',90,'Junior_cycle_terminal_leaver-secondary_school',33,'secondary','1'
'female',114,'Junior_cycle_terminal_leaver-vocational_school',28,'vocational','1'
'female',99,'Junior_cycle_terminal_leaver-secondary_school',38,'secondary','1'
'female',94,'Senior_cycle_terminal_leaver-secondary_school',35,'secondary','2'
'female',86,'Junior_cycle_terminal_leaver-secondary_school',28,'secondary','1'
'female',93,'Senior_cycle_terminal_leaver-secondary_school',35,'secondary','2'
'female',91,'Junior_cycle_terminal_leaver-vocational_school',28,'vocational','1'
'female',109,'Senior_cycle_incomplete-secondary_school',40,'secondary','1'
'female',91,'Junior_cycle_terminal_leaver-secondary_school',28,'secondary','1'
'female',106,'Junior_cycle_terminal_leaver-vocational_school',28,'vocational','1'
'female',109,'Senior_cycle_terminal_leaver-secondary_school',43,'secondary','2'
'female',111,'Junior_cycle_terminal_leaver-secondary_school',51,'secondary','1'
'female',111,'Junior_cycle_terminal_leaver-secondary_school',?,'secondary','1'
'female',106,'Junior_cycle_terminal_leaver-vocational_school',?,'vocational','1'
'female',86,'Junior_cycle_terminal_leaver-vocational_school',40,'vocational','1'
'female',107,'Junior_cycle_incomplete-secondary_school',18,'secondary','1'
'female',103,'Primary_terminal_leaver',28,'primary_terminal_leaver','1'
'female',100,'Junior_cycle_incomplete-secondary_school',18,'secondary','1'
'female',101,'Junior_cycle_terminal_leaver-secondary_school',38,'secondary','1'
'female',97,'Junior_cycle_incomplete-vocational_school',36,'vocational','1'
'female',105,'Junior_cycle_terminal_leaver-vocational_school',46,'vocational','1'
'female',98,'Junior_cycle_incomplete-vocational_school',37,'vocational','1'
'female',111,'Junior_cycle_terminal_leaver-secondary_school',18,'secondary','1'
'female',88,'Junior_cycle_incomplete-secondary_school',57,'secondary','1'
'female',123,'Junior_cycle_terminal_leaver-secondary_school',28,'secondary','1'
'female',98,'Junior_cycle_terminal_leaver-secondary_school',33,'secondary','1'
'female',94,'Junior_cycle_terminal_leaver-vocational_school',43,'vocational','1'
'female',109,'Junior_cycle_terminal_leaver-secondary_school',28,'secondary','1'
'female',70,'Primary_terminal_leaver',18,'primary_terminal_leaver','1'
'female',75,'Junior_cycle_incomplete-vocational_school',33,'vocational','1'
'female',72,'Senior_cycle_terminal_leaver-secondary_school',18,'secondary','2'
'female',70,'Junior_cycle_incomplete-vocational_school',18,'vocational','1'
'female',70,'Primary_terminal_leaver',18,'primary_terminal_leaver','1'
'female',70,'Primary_terminal_leaver',18,'primary_terminal_leaver','1'
'female',70,'Primary_terminal_leaver',18,'primary_terminal_leaver','1'
'female',85,'Primary_terminal_leaver',18,'primary_terminal_leaver','1'
'female',108,'Junior_cycle_terminal_leaver-vocational_school',28,'vocational','1'
'female',75,'Junior_cycle_incomplete-vocational_school',28,'vocational','1'
'female',104,'Senior_cycle_terminal_leaver-secondary_school',?,'secondary','2'
'female',103,'Junior_cycle_terminal_leaver-secondary_school',38,'secondary','1'
