@relation aux
@attribute AGE numeric
@attribute SEX {'male','female'}
@attribute STEROID {'no','yes'}
@attribute ANTIVIRALS {'no','yes'}
@attribute FATIGUE {'no','yes'}
@attribute MALAISE {'no','yes'}
@attribute ANOREXIA {'no','yes'}
@attribute LIVER_BIG {'no','yes'}
@attribute LIVER_FIRM {'no','yes'}
@attribute SPLEEN_PALPABLE {'no','yes'}
@attribute SPIDERS {'no','yes'}
@attribute ASCITES {'no','yes'}
@attribute VARICES {'no','yes'}
@attribute BILIRUBIN numeric
@attribute ALK_PHOSPHATE numeric
@attribute SGOT numeric
@attribute ALBUMIN numeric
@attribute PROTIME numeric
@attribute HISTOLOGY {'no','yes'}
@attribute class {'1','2'}
@data
30,'male','no','no','no','no','no','no','no','no','no','no','no',1,85,18,4,?,'no','2'
50,'female','no','no','yes','no','no','no','no','no','no','no','no',0.9,135,42,3.5,?,'no','2'
78,'female','yes','no','yes','no','no','yes','no','no','no','no','no',0.7,96,32,4,?,'no','2'
31,'female',?,'yes','no','no','no','yes','no','no','no','no','no',0.7,46,52,4,80,'no','2'
34,'female','yes','no','no','no','no','yes','no','no','no','no','no',1,?,200,4,?,'no','2'
34,'female','yes','no','no','no','no','yes','no','no','no','no','no',0.9,95,28,4,75,'no','2'
51,'female','no','no','yes','no','yes','yes','no','yes','yes','no','no',?,?,?,?,?,'no','1'
23,'female','yes','no','no','no','no','yes','no','no','no','no','no',1,?,?,?,?,'no','2'
39,'female','yes','no','yes','no','no','yes','yes','no','no','no','no',0.7,?,48,4.4,?,'no','2'
30,'female','yes','no','no','no','no','yes','no','no','no','no','no',1,?,120,3.9,?,'no','2'
39,'female','no','yes','no','no','no','no','yes','no','no','no','no',1.3,78,30,4.4,85,'no','2'
32,'female','yes','yes','yes','no','no','yes','yes','no','yes','no','no',1,59,249,3.7,54,'no','2'
41,'female','yes','yes','yes','no','no','yes','yes','no','no','no','no',0.9,81,60,3.9,52,'no','2'
30,'female','yes','no','yes','no','no','yes','yes','no','no','no','no',2.2,57,144,4.9,78,'no','2'
47,'female','no','yes','no','no','no','yes','no','no','no','no','no',?,?,60,?,?,'no','2'
38,'female','no','no','yes','yes','yes','yes','no','no','no','yes','no',2,72,89,2.9,46,'no','2'
66,'female','yes','no','yes','no','no','yes','no','no','no','no','no',1.2,102,53,4.3,?,'no','2'
40,'female','no','no','yes','no','no','yes','yes','no','no','no','no',0.6,62,166,4,63,'no','2'
