@relation aux
@attribute age numeric
@attribute menopause {'premenopausal','>=40','<40'}
@attribute inv.nodes {'0','2','3','1','7','10','16','5','8','6','4','25','9','17','15','13','14','11'}
@attribute node.caps {'no','yes'}
@attribute deg.malig {'1','3','2'}
@attribute breast {'right','left'}
@attribute breast.quad {'left-lower','right-lower','left-upper','right-upper','central'}
@attribute irradiation {'no','yes'}
@attribute recurrence {'n','r'}
@attribute class {'1','2'}
@data
36,'premenopausal','0','no','1','right','left-lower','no','n','1'
39,'premenopausal','0','no','3','left','left-lower','no','n','2'
41,'premenopausal','0','no','1','right','right-lower','no','n','2'
40,'premenopausal','0','no','2','left','left-lower','no','n','1'
51,'>=40','0','no','2','right','left-upper','no','n','2'
65,'>=40','0','no','2','left','left-lower','no','n','1'
60,'>=40','0','no','2','left','left-lower','no','n','2'
34,'premenopausal','0','no','2','left','right-lower','no','n','1'
30,'premenopausal','2','no','3','left','left-lower','no','r','2'
58,'>=40','0','no','2','right','left-lower','no','n','1'
62,'>=40','0','no','3','right','left-upper','no','n','2'
46,'premenopausal','3','yes','2','right','left-lower','no','n','2'
53,'premenopausal','0','no','2','left','left-lower','no','r','1'
52,'premenopausal','0','no','3','left','right-upper','no','r','2'
46,'premenopausal','0','no','1','right','left-upper','no','n','2'
48,'premenopausal','0','no','3','left','central','no','n','1'
54,'>=40','0','no','2','right','left-lower','no','n','1'
37,'premenopausal','1','no','1','left','left-lower','no','n','1'
51,'premenopausal','0','no','1','right','left-upper','no','r','2'
62,'>=40','7','yes','3','left','central','no','n','2'
60,'>=40','0','no','2','left','left-upper','no','n','2'
52,'>=40','1','no','2','left','left-upper','no','n','2'
62,'>=40','2','yes','2','right','right-upper','yes','r','2'
35,'premenopausal','3','no','3','right','right-upper','yes','n','2'
52,'premenopausal','0','no','3','left','left-lower','no','n','2'
50,'premenopausal','0','no','2','right','right-lower','no','n','1'
36,'premenopausal','1','no','1','right','left-upper','no','r','2'
37,'premenopausal','0','no','2','right','right-upper','no','n','2'
31,'premenopausal','0','no','1','right','left-lower','no','r','1'
54,'premenopausal','0','no','2','right','left-upper','no','n','2'
64,'>=40','0','no','1','right','left-upper','no','n','2'
48,'premenopausal','1','no','2','left','right-lower','no','n','2'
45,'premenopausal','0','no','1','left','right-lower','no','n','1'
45,'>=40','3','no','3','left','left-lower','no','r','2'
50,'premenopausal','3','yes','2','left','left-lower','yes','n','2'
50,'premenopausal','0','no','2','left','left-upper','no','n','2'
41,'premenopausal','0','no','2','right','left-upper','no','n','1'
45,'premenopausal','0','no','2','right','right-lower','no','n','2'
39,'premenopausal','7','yes','2','right','right-upper','no','n','2'
45,'premenopausal','0','no','2','right','left-lower','no','n','2'
60,'>=40','0','no','1','left','left-lower','no','n','1'
35,'premenopausal','10','no','2','right','left-upper','yes','r','2'
41,'premenopausal','0','no','2','left','left-upper','no','n','1'
33,'premenopausal','2','no','3','left','central','no','n','1'
55,'>=40','1','yes','2','right','left-upper','no','n','1'
