@relation aux
@attribute col_2 numeric
@attribute col_3 numeric
@attribute col_4 numeric
@attribute col_6 numeric
@attribute col_7 numeric
@attribute col_8 numeric
@attribute col_9 numeric
@attribute col_10 numeric
@attribute class {'1','2'}
@data
0,0,0,0,1,0,0,0,'1'
0,0,0,1,2,0,0,0,'2'
0,0,0,1,3,0,0,0,'2'
0,0,0,0,4,9,59,12,'1'
0,0,0,0,5,10,228,28,'1'
4,26,5,1,6,13,260,35,'2'
10,42,11,1,7,9,255,22,'2'
9,143,17,0,8,10,538,35,'1'
13,244,33,0,9,10,228,27,'1'
9,137,25,1,10,10,485,34,'2'
11,175,37,1,11,10,426,27,'2'
10,181,27,0,12,11,693,33,'1'
8,105,21,0,13,14,541,33,'1'
9,190,34,1,14,10,509,30,'2'
9,203,32,1,15,7,462,28,'2'
7,202,21,0,16,10,813,36,'1'
7,202,17,0,17,11,873,33,'1'
8,162,21,1,18,13,756,36,'2'
6,121,12,1,19,10,720,34,'2'
4,121,11,0,20,9,497,28,'1'
10,272,33,0,21,7,644,20,'1'
7,248,25,1,22,5,371,16,'2'
5,100,11,1,23,7,513,22,'2'
7,230,28,0,24,10,470,21,'1'
7,208,16,0,25,12,688,39,'1'
8,198,17,1,26,10,737,33,'2'
12,204,25,1,27,11,805,34,'2'
8,222,22,0,28,8,450,12,'1'
12,303,28,0,29,13,772,42,'1'
10,379,30,1,30,15,954,55,'2'
13,371,32,1,31,14,702,34,'2'
6,155,14,0,32,14,613,32,'1'
11,259,25,0,33,14,825,47,'1'
11,384,30,1,34,11,537,30,'2'
17,465,42,1,35,11,600,36,'2'
11,383,40,0,36,11,491,36,'1'
16,482,49,0,37,14,888,58,'1'
10,157,21,1,38,14,605,47,'2'
15,293,33,1,39,11,497,35,'2'
8,211,22,0,40,15,419,34,'1'
14,215,23,0,41,13,494,42,'1'
6,93,11,1,42,14,524,47,'2'
13,251,25,1,43,11,430,35,'2'
16,286,30,0,44,13,444,30,'1'
13,258,28,0,45,15,659,47,'1'
13,262,33,1,46,12,442,36,'2'
13,192,27,1,47,13,411,30,'2'
11,298,20,0,48,18,590,42,'1'
11,176,17,0,49,18,515,47,'1'
8,95,11,1,50,17,440,51,'2'
7,105,10,1,51,13,533,44,'2'
6,86,11,0,52,13,445,41,'1'
8,177,12,0,53,15,404,40,'1'
9,184,17,1,54,17,362,37,'2'
6,145,9,1,55,11,506,34,'2'
5,129,9,0,56,14,353,36,'1'
6,81,7,0,57,12,492,37,'1'
11,167,14,1,58,11,344,33,'2'
8,148,9,1,59,12,477,41,'2'
8,128,9,0,60,10,411,32,'1'
12,241,17,0,61,8,351,11,'1'
5,51,5,1,62,12,409,23,'2'
8,163,11,1,63,14,463,37,'2'
5,119,7,0,64,12,377,27,'1'
6,125,9,0,65,13,443,30,'1'
11,253,21,1,66,11,344,28,'2'
11,123,14,1,67,11,423,22,'2'
8,102,11,0,68,8,200,20,'1'
4,39,4,0,69,8,299,17,'1'
9,111,11,1,70,8,204,17,'2'
6,102,7,1,71,10,326,22,'2'
6,129,9,0,72,10,292,17,'1'
12,196,15,0,73,11,277,25,'1'
8,128,11,1,74,11,380,17,'2'
14,198,22,1,75,11,228,25,'2'
9,95,11,0,76,11,226,23,'1'
13,166,17,0,77,9,332,16,'1'
10,61,10,1,78,10,228,22,'2'
12,133,12,1,79,11,172,22,'2'
7,144,15,0,80,7,284,14,'1'
12,167,17,0,81,8,228,17,'1'
7,100,10,1,82,11,180,15,'2'
6,97,10,1,83,8,225,16,'2'
12,154,17,0,84,12,216,19,'1'
8,126,12,0,85,9,176,14,'1'
17,207,23,1,86,13,252,22,'2'
10,154,15,1,87,9,126,11,'2'
14,199,21,0,88,13,528,27,'1'
12,187,16,0,89,10,714,16,'1'
10,136,14,1,90,11,435,28,'2'
8,150,10,1,91,8,193,22,'2'
10,132,12,0,92,15,565,36,'1'
7,138,9,0,93,12,386,30,'1'
10,128,11,1,94,18,694,42,'2'
6,125,8,1,95,15,579,40,'2'
8,151,12,0,96,12,464,37,'1'
10,144,16,0,97,4,166,16,'1'
9,220,14,1,98,10,308,30,'2'
10,172,14,1,99,14,445,32,'2'
9,167,11,0,100,12,432,34,'1'
11,165,14,0,101,10,345,32,'1'
8,114,8,1,102,9,253,21,'2'
12,158,14,1,103,8,229,28,'2'
7,73,7,0,104,9,196,21,'1'
11,144,12,0,105,9,285,28,'1'
6,32,5,1,106,7,225,25,'2'
10,130,11,1,107,14,340,25,'2'
7,161,16,0,108,10,349,30,'1'
7,169,11,0,109,12,339,28,'1'
8,142,15,1,110,12,473,36,'2'
11,137,17,1,111,10,338,30,'2'
8,139,12,0,112,10,433,42,'1'
10,149,17,0,113,14,323,40,'1'
7,135,10,1,114,11,156,22,'2'
9,160,15,1,115,8,80,11,'2'
9,290,17,0,116,12,441,41,'1'
9,135,11,0,117,15,462,36,'1'
15,173,17,1,118,13,453,30,'2'
6,100,8,1,119,11,200,22,'2'
11,137,15,0,120,14,449,37,'1'
8,120,11,0,121,15,600,33,'1'
7,100,11,1,122,15,750,27,'2'
10,140,12,1,123,13,320,34,'2'
5,132,10,0,124,12,429,28,'1'
10,178,16,0,125,13,513,25,'1'
9,139,15,1,126,11,191,30,'2'
10,142,14,1,127,8,257,22,'2'
8,107,10,0,128,10,275,22,'1'
6,72,5,0,129,8,244,20,'1'
6,55,7,1,130,9,359,14,'2'
12,258,23,1,131,8,231,17,'2'
5,49,5,0,132,7,232,11,'1'
4,164,15,0,133,10,230,21,'1'
3,42,4,1,134,4,104,10,'2'
6,70,5,1,135,12,228,23,'2'
5,57,7,0,136,12,299,28,'1'
4,45,4,0,137,24,504,60,'1'
6,72,10,1,138,6,174,16,'2'
2,19,2,1,139,15,438,45,'2'
1,8,1,0,140,14,372,34,'1'
3,47,2,0,141,12,223,23,'1'
4,78,10,1,142,8,267,20,'2'
4,75,2,1,143,18,648,66,'2'
7,148,17,0,144,15,444,39,'1'
7,126,11,0,145,12,146,17,'1'
3,43,2,1,146,9,360,23,'2'
8,133,17,1,147,9,253,22,'2'
6,84,10,0,148,15,446,53,'1'
2,10,2,0,149,12,274,30,'1'
9,117,17,1,150,12,169,22,'2'
4,41,8,1,151,9,229,22,'2'
10,23,5,0,152,10,239,25,'1'
7,4,1,0,153,12,244,39,'1'
13,127,22,1,154,9,104,22,'2'
10,134,14,1,155,11,191,25,'2'
6,94,14,0,156,8,98,19,'1'
7,113,12,0,157,10,132,22,'1'
7,132,11,1,158,6,92,15,'2'
