@relation aux
@attribute Age numeric
@attribute Sex {'0','1','4'}
@attribute Income numeric
@attribute Travel_cost numeric
@attribute Access_road {'0','1'}
@attribute Active {'0','1','2','3','4','5','6'}
@attribute Passive {'0','1','2','3','4'}
@attribute Logged_income numeric
@attribute class {'1','2'}
@data
35,'0',250,48.0003,'1','1','0',5.521461,'1'
25,'1',218.75,52.2,'0','2','2',5.38793,'1'
37,'0',1875,163.5,'0','0','0',7.536364,'1'
29,'1',781.25,87,'0','0','0',6.660895,'1'
54,'0',562.5,21,'0','0','0',6.332391,'1'
34,'0',218.75,60,'1','0','1',5.38793,'1'
40,'0',468.75,56.4,'1','0','0',6.15007,'1'
32,'1',2187.5,48.0003,'0','1','1',7.690515,'1'
62,'1',781.25,56.4,'0','2','2',6.660895,'1'
36,'1',937.5,48.0003,'0','2','1',6.843217,'1'
62,'0',?,48,'0','1','1',?,'1'
52,'0',625,48,'0','1','1',6.437752,'1'
42,'1',1250,82.2,'0','3','4',7.130899,'1'
62,'0',198.019802,48.0003,'0','0','0',5.288367,'1'
41,'0',1485.148515,303.6,'0','0','0',7.30327,'1'
54,'0',1237.623762,48.0003,'1','0','0',7.120948,'1'
19,'1',2351.485149,170.4,'0','0','0',7.762802,'1'
42,'1',198.019802,48.0003,'1','0','0',5.288367,'1'
28,'1',222.772277,60,'0','0','0',5.40615,'1'
47,'0',990.09901,48.0003,'0','0','1',6.897805,'1'
30,'1',742.574257,48.0003,'0','0','1',6.610123,'1'
58,'0',148.514852,52.2,'0','0','0',5.000685,'1'
37,'0',742.574257,48.0003,'0','0','1',6.610123,'1'
38,'0',1237.623762,112.5,'0','0','0',7.120948,'1'
42,'0',7.425743,48.0003,'0','0','1',2.004953,'1'
62,'1',247.524753,48.0003,'0','0','0',5.511511,'1'
28,'0',371.287129,48.0003,'0','0','0',5.916976,'1'
18,'0',742.574257,48.0003,'0','1','1',6.610123,'1'
39,'1',1435.643564,197.4,'0','2','2',7.269369,'1'
39,'1',1237.623762,48.0003,'1','1','1',7.120948,'1'
22,'1',396.039604,48.0003,'1','0','0',5.981514,'1'
35,'0',990.09901,48.0003,'1','1','1',6.897805,'1'
