@relation aux
@attribute Month {'1/1/00','10/1/00','11/1/00','12/1/00','2/1/00','3/1/00','4/1/00','5/1/00','6/1/00','7/1/00','8/1/00'}
@attribute Day {'1','2','3','4','5','6','7','8','9','10','11','12','13','14','15','16','17','18','19','20','21','22','23','24','25','26','27','28','29','30','31'}
@attribute Births numeric
@attribute class {'1','2'}
@data
'1/1/00','1',7701,'1'
'1/1/00','2',7527,'2'
'1/1/00','3',8825,'2'
'1/1/00','4',8859,'2'
'1/1/00','5',9043,'2'
'1/1/00','6',9208,'2'
'1/1/00','7',8084,'2'
'1/1/00','8',7611,'1'
'1/1/00','9',9172,'2'
'1/1/00','10',9089,'2'
'1/1/00','11',9210,'2'
'1/1/00','12',9259,'2'
'1/1/00','13',9138,'2'
'1/1/00','14',8299,'2'
'1/1/00','15',7771,'1'
'1/1/00','16',9458,'2'
'1/1/00','17',9339,'2'
'1/1/00','18',9120,'2'
'1/1/00','19',9226,'2'
'1/1/00','20',9305,'2'
'1/1/00','21',7954,'2'
'1/1/00','22',7560,'1'
'1/1/00','23',9252,'2'
'1/1/00','24',9416,'2'
'1/1/00','25',9090,'2'
'1/1/00','26',9387,'2'
'1/1/00','27',8983,'2'
'1/1/00','28',7946,'2'
'1/1/00','29',7527,'1'
'1/1/00','30',9184,'2'
'1/1/00','31',9152,'2'
'2/1/00','1',9159,'2'
'2/1/00','2',9218,'2'
'2/1/00','3',9167,'2'
'2/1/00','4',8065,'2'
'2/1/00','5',7804,'1'
'2/1/00','6',9225,'2'
'2/1/00','7',9328,'2'
'2/1/00','8',9139,'2'
'2/1/00','9',9247,'2'
'2/1/00','10',9527,'2'
'2/1/00','11',8144,'2'
'2/1/00','12',7950,'1'
'2/1/00','13',8966,'2'
'2/1/00','14',9859,'2'
'2/1/00','15',9285,'2'
'2/1/00','16',9103,'2'
'2/1/00','17',9238,'2'
'2/1/00','18',8167,'2'
'2/1/00','19',7695,'1'
'2/1/00','20',9021,'2'
'2/1/00','21',9252,'2'
'2/1/00','22',9335,'2'
'2/1/00','23',9268,'2'
'2/1/00','24',9552,'2'
'2/1/00','25',8313,'2'
'2/1/00','26',7881,'1'
'2/1/00','27',9262,'2'
'2/1/00','28',9705,'2'
'3/1/00','1',9132,'2'
'3/1/00','2',9304,'2'
'3/1/00','3',9431,'2'
'3/1/00','4',8008,'2'
'3/1/00','5',7791,'1'
'3/1/00','6',9294,'2'
'3/1/00','7',9573,'2'
'3/1/00','8',9212,'2'
'3/1/00','9',9218,'2'
'3/1/00','10',9583,'2'
'3/1/00','11',8144,'2'
'3/1/00','12',7870,'1'
'3/1/00','13',9022,'2'
'3/1/00','14',9525,'2'
'3/1/00','15',9284,'2'
'3/1/00','16',9327,'2'
'3/1/00','17',9480,'2'
'3/1/00','18',7965,'2'
'3/1/00','19',7729,'1'
'3/1/00','20',9135,'2'
'3/1/00','21',9663,'2'
'3/1/00','22',9307,'2'
'3/1/00','23',9159,'2'
'3/1/00','24',9157,'2'
'3/1/00','25',7874,'2'
'3/1/00','26',7589,'1'
'3/1/00','27',9100,'2'
'3/1/00','28',9293,'2'
'3/1/00','29',9195,'2'
'3/1/00','30',8902,'2'
'3/1/00','31',9318,'2'
'4/1/00','1',8069,'2'
'4/1/00','2',7691,'1'
'4/1/00','3',9114,'2'
'4/1/00','4',9439,'2'
'4/1/00','5',8852,'2'
'4/1/00','6',8969,'2'
'4/1/00','7',9077,'2'
'4/1/00','8',7890,'2'
'4/1/00','9',7445,'1'
'4/1/00','10',8870,'2'
'4/1/00','11',9023,'2'
'4/1/00','12',8606,'2'
'4/1/00','13',8724,'2'
'4/1/00','14',9012,'2'
'4/1/00','15',7527,'2'
'4/1/00','16',7193,'1'
'4/1/00','17',8702,'2'
'4/1/00','18',9205,'2'
'4/1/00','19',8720,'2'
'4/1/00','20',8582,'2'
'4/1/00','21',8892,'2'
'4/1/00','22',7787,'2'
'4/1/00','23',7304,'1'
'4/1/00','24',9017,'2'
'4/1/00','25',9077,'2'
'4/1/00','26',9019,'2'
'4/1/00','27',8839,'2'
'4/1/00','28',9047,'2'
'4/1/00','29',7750,'2'
'4/1/00','30',7135,'1'
'5/1/00','1',8900,'2'
'5/1/00','2',9422,'2'
'5/1/00','3',9051,'2'
'5/1/00','4',8672,'2'
'5/1/00','5',9101,'2'
'5/1/00','6',7718,'2'
'5/1/00','7',7388,'1'
'5/1/00','8',8987,'2'
'5/1/00','9',9307,'2'
'5/1/00','10',9273,'2'
'5/1/00','11',8903,'2'
'5/1/00','12',8975,'2'
'5/1/00','13',7762,'2'
'5/1/00','14',7382,'1'
'5/1/00','15',9195,'2'
'5/1/00','16',9200,'2'
'5/1/00','17',8913,'2'
'5/1/00','18',9044,'2'
'5/1/00','19',9000,'2'
'5/1/00','20',8064,'2'
'5/1/00','21',7570,'1'
'5/1/00','22',9089,'2'
'5/1/00','23',9210,'2'
'5/1/00','24',9196,'2'
'5/1/00','25',9180,'2'
'5/1/00','26',9514,'2'
'5/1/00','27',8005,'2'
'5/1/00','28',7781,'1'
'5/1/00','29',7780,'2'
'5/1/00','30',9630,'2'
'5/1/00','31',9600,'2'
'6/1/00','1',9435,'2'
'6/1/00','2',9303,'2'
'6/1/00','3',7971,'2'
'6/1/00','4',7399,'1'
'6/1/00','5',9127,'2'
'6/1/00','6',9606,'2'
'6/1/00','7',9328,'2'
'6/1/00','8',9075,'2'
'6/1/00','9',9362,'2'
'6/1/00','10',8040,'2'
'6/1/00','11',7581,'1'
'6/1/00','12',9201,'2'
'6/1/00','13',9264,'2'
'6/1/00','14',9216,'2'
'6/1/00','15',9175,'2'
'6/1/00','16',9350,'2'
'6/1/00','17',8233,'2'
'6/1/00','18',7777,'1'
'6/1/00','19',9543,'2'
'6/1/00','20',9672,'2'
'6/1/00','21',9266,'2'
'6/1/00','22',9405,'2'
'6/1/00','23',9598,'2'
'6/1/00','24',8122,'2'
'6/1/00','25',8091,'1'
'6/1/00','26',9348,'2'
'6/1/00','27',9857,'2'
'6/1/00','28',9701,'2'
'6/1/00','29',9630,'2'
'6/1/00','30',10080,'2'
'7/1/00','1',8209,'2'
'7/1/00','2',7976,'1'
'7/1/00','3',9284,'2'
'7/1/00','4',8433,'2'
'7/1/00','5',9675,'2'
'7/1/00','6',10184,'2'
'7/1/00','7',10241,'2'
'7/1/00','8',8773,'2'
'7/1/00','9',8102,'1'
'7/1/00','10',9877,'2'
'7/1/00','11',9852,'2'
'7/1/00','12',9705,'2'
'7/1/00','13',9984,'2'
'7/1/00','14',10438,'2'
'7/1/00','15',8859,'2'
'7/1/00','16',8416,'1'
'7/1/00','17',10026,'2'
'7/1/00','18',10357,'2'
'7/1/00','19',10015,'2'
'7/1/00','20',10386,'2'
'7/1/00','21',10332,'2'
'7/1/00','22',9062,'2'
'7/1/00','23',8563,'1'
'7/1/00','24',9960,'2'
'7/1/00','25',10349,'2'
'7/1/00','26',10091,'2'
'7/1/00','27',10192,'2'
'7/1/00','28',10307,'2'
'7/1/00','29',8677,'2'
'7/1/00','30',8486,'1'
'7/1/00','31',9890,'2'
'8/1/00','1',10145,'2'
'8/1/00','2',9824,'2'
'8/1/00','3',10128,'2'
'8/1/00','4',10051,'2'
'8/1/00','5',8738,'2'
'8/1/00','6',8442,'1'
'8/1/00','7',10206,'2'
'8/1/00','8',10442,'2'
'8/1/00','9',10142,'2'
'8/1/00','10',10284,'2'
'8/1/00','11',10162,'2'
'8/1/00','12',8951,'2'
'8/1/00','13',8532,'1'
'8/1/00','14',10127,'2'
'8/1/00','15',10502,'2'
'8/1/00','16',10053,'2'
'8/1/00','17',10377,'2'
'8/1/00','18',10355,'2'
'8/1/00','19',8904,'2'
'8/1/00','20',8477,'1'
'8/1/00','21',9967,'2'
'8/1/00','22',10229,'2'
'8/1/00','23',9900,'2'
'8/1/00','24',10152,'2'
'8/1/00','25',10173,'2'
'8/1/00','26',8782,'2'
'8/1/00','27',8453,'1'
'8/1/00','28',9998,'2'
'8/1/00','29',10387,'2'
'8/1/00','30',10063,'2'
'8/1/00','31',9849,'2'
?,'1',10114,'2'
?,'2',8580,'2'
?,'3',8355,'1'
?,'4',8481,'2'
?,'5',10023,'2'
?,'6',10703,'2'
?,'7',10292,'2'
?,'8',10371,'2'
?,'9',9023,'2'
?,'10',8630,'1'
?,'11',10154,'2'
?,'12',10425,'2'
?,'13',10149,'2'
?,'14',10265,'2'
?,'15',10265,'2'
?,'16',9170,'2'
?,'17',8711,'1'
?,'18',10304,'2'
?,'19',10711,'2'
?,'20',10488,'2'
?,'21',10499,'2'
?,'22',10349,'2'
?,'23',8735,'2'
?,'24',8647,'1'
?,'25',10414,'2'
?,'26',10498,'2'
?,'27',10344,'2'
?,'28',10175,'2'
?,'29',10368,'2'
?,'30',8648,'2'
'10/1/00','1',8686,'1'
'10/1/00','2',9927,'2'
'10/1/00','3',10378,'2'
'10/1/00','4',9928,'2'
'10/1/00','5',9949,'2'
'10/1/00','6',10052,'2'
'10/1/00','7',8605,'2'
'10/1/00','8',8377,'1'
'10/1/00','9',9765,'2'
'10/1/00','10',10351,'2'
'10/1/00','11',9873,'2'
'10/1/00','12',9824,'2'
'10/1/00','13',9755,'2'
'10/1/00','14',8554,'2'
'10/1/00','15',7873,'1'
'10/1/00','16',9531,'2'
'10/1/00','17',9938,'2'
'10/1/00','18',9388,'2'
'10/1/00','19',9502,'2'
'10/1/00','20',9625,'2'
'10/1/00','21',8411,'2'
'10/1/00','22',7936,'1'
'10/1/00','23',9425,'2'
'10/1/00','24',9576,'2'
'10/1/00','25',9328,'2'
'10/1/00','26',9501,'2'
'10/1/00','27',9537,'2'
'10/1/00','28',8415,'2'
'10/1/00','29',8155,'1'
'10/1/00','30',9457,'2'
'10/1/00','31',9333,'2'
'11/1/00','1',9321,'2'
'11/1/00','2',9245,'2'
'11/1/00','3',9774,'2'
'11/1/00','4',8246,'2'
'11/1/00','5',8011,'1'
'11/1/00','6',9507,'2'
'11/1/00','7',9769,'2'
'11/1/00','8',9501,'2'
'11/1/00','9',9609,'2'
'11/1/00','10',9652,'2'
'11/1/00','11',8352,'2'
'11/1/00','12',7967,'1'
'11/1/00','13',9606,'2'
'11/1/00','14',10014,'2'
'11/1/00','15',9536,'2'
'11/1/00','16',9568,'2'
'11/1/00','17',9835,'2'
'11/1/00','18',8432,'2'
'11/1/00','19',7868,'1'
'11/1/00','20',9592,'2'
'11/1/00','21',9950,'2'
'11/1/00','22',9548,'2'
'11/1/00','23',7915,'2'
'11/1/00','24',9037,'2'
'11/1/00','25',8275,'2'
'11/1/00','26',8068,'1'
'11/1/00','27',9825,'2'
'11/1/00','28',9814,'2'
'11/1/00','29',9438,'2'
'11/1/00','30',9396,'2'
'12/1/00','1',9592,'2'
'12/1/00','2',8528,'2'
'12/1/00','3',8196,'1'
'12/1/00','4',9767,'2'
'12/1/00','5',9881,'2'
'12/1/00','6',9402,'2'
'12/1/00','7',9480,'2'
'12/1/00','8',9398,'2'
'12/1/00','9',8335,'2'
'12/1/00','10',8093,'1'
'12/1/00','11',9686,'2'
'12/1/00','12',10063,'2'
'12/1/00','13',9509,'2'
'12/1/00','14',9524,'2'
'12/1/00','15',9951,'2'
'12/1/00','16',8507,'2'
'12/1/00','17',8172,'1'
'12/1/00','18',10196,'2'
'12/1/00','19',10605,'2'
'12/1/00','20',9998,'2'
'12/1/00','21',9398,'2'
'12/1/00','22',9008,'2'
'12/1/00','23',7939,'2'
'12/1/00','24',7964,'1'
