@relation aux
@attribute Lottery.pick.1970 numeric
@attribute Lottery.pick.1971 numeric
@attribute Month {'1','2','3','4','5','6','7','8','9','10','11','12'}
@attribute Month.ordered.picks.1970 {'1','2','3','4','5','6','7','8','9','10','11','12'}
@attribute class {'1','2'}
@data
305,133,'1','9','2'
159,195,'1','4','2'
251,336,'1','12','2'
215,99,'1','2','2'
101,33,'1','10','2'
224,285,'1','9','2'
306,159,'1','10','2'
199,116,'1','9','2'
194,53,'1','11','2'
325,101,'1','12','2'
329,144,'1','8','2'
221,152,'1','12','2'
318,330,'1','7','2'
238,71,'1','4','2'
17,75,'1','7','2'
121,136,'1','12','2'
235,54,'1','1','2'
140,185,'1','9','2'
58,188,'1','11','2'
280,211,'1','6','2'
186,129,'1','8','2'
337,132,'1','6','2'
118,48,'1','7','2'
59,177,'1','10','2'
52,57,'1','2','2'
92,140,'1','12','2'
355,173,'1','7','2'
77,346,'1','6','2'
349,277,'1','3','2'
164,112,'1','3','2'
211,60,'1','5','2'
86,335,'2','4','2'
144,354,'2','3','1'
297,186,'2','11','2'
210,94,'2','5','2'
214,97,'2','8','2'
347,16,'2','5','2'
91,25,'2','10','2'
181,127,'2','12','2'
338,187,'2','5','2'
216,46,'2','12','2'
150,227,'2','7','2'
68,262,'2','12','2'
152,13,'2','8','2'
4,260,'2','8','2'
89,201,'2','11','2'
212,334,'2','11','2'
189,345,'2','8','1'
292,337,'2','9','2'
25,331,'2','7','2'
302,20,'2','11','2'
363,213,'2','1','2'
290,271,'2','12','1'
57,351,'2','8','1'
236,226,'2','5','2'
179,325,'2','12','2'
365,86,'2','2','1'
205,66,'2','1','2'
299,234,'2','1','2'
285,?,'2','6','1'
108,14,'3','8','2'
29,77,'3','4','2'
267,207,'3','9','2'
275,117,'3','6','2'
293,299,'3','5','2'
139,296,'3','11','2'
122,141,'3','7','2'
213,79,'3','2','2'
317,278,'3','6','2'
323,150,'3','12','2'
136,317,'3','9','1'
300,24,'3','10','2'
259,241,'3','6','2'
354,12,'3','4','2'
169,157,'3','5','1'
166,258,'3','11','2'
33,220,'3','1','2'
332,319,'3','12','2'
200,189,'3','10','2'
239,170,'3','11','2'
334,246,'3','4','2'
265,269,'3','9','2'
256,281,'3','4','2'
258,203,'3','12','2'
343,298,'3','6','2'
170,121,'3','2','2'
268,254,'3','10','2'
223,95,'3','7','2'
362,147,'3','2','2'
217,56,'3','4','2'
30,38,'3','2','2'
32,224,'4','1','2'
271,216,'4','7','2'
83,297,'4','10','2'
81,37,'4','12','2'
269,124,'4','12','2'
253,312,'4','11','2'
147,142,'4','7','2'
312,267,'4','11','1'
219,223,'4','12','2'
218,165,'4','1','1'
14,178,'4','8','2'
346,89,'4','5','2'
124,143,'4','6','2'
231,202,'4','12','2'
273,182,'4','8','2'
148,31,'4','11','2'
260,264,'4','3','2'
90,138,'4','6','2'
336,62,'4','6','2'
345,118,'4','8','2'
62,8,'4','5','1'
316,256,'4','9','2'
252,292,'4','8','2'
2,244,'4','7','2'
351,328,'4','8','1'
340,137,'4','10','2'
74,235,'4','1','2'
262,82,'4','9','2'
191,111,'4','7','2'
208,358,'4','1','2'
330,179,'5','3','2'
298,96,'5','12','2'
40,171,'5','4','2'
276,240,'5','10','2'
364,301,'5','11','2'
155,268,'5','11','2'
35,29,'5','12','2'
321,105,'5','12','1'
197,357,'5','5','2'
65,146,'5','11','2'
37,293,'5','11','1'
133,210,'5','5','1'
295,353,'5','6','2'
178,40,'5','12','2'
130,344,'5','3','1'
55,175,'5','6','2'
112,212,'5','10','2'
278,180,'5','3','2'
75,155,'5','1','1'
183,242,'5','8','2'
250,225,'5','8','2'
326,199,'5','11','2'
319,222,'5','2','1'
31,22,'5','8','2'
361,26,'5','11','2'
357,148,'5','4','2'
296,122,'5','4','2'
308,9,'5','9','2'
226,61,'5','2','2'
103,209,'5','9','2'
313,350,'5','2','1'
249,65,'6','7','2'
228,304,'6','8','2'
301,135,'6','5','2'
20,42,'6','11','2'
28,233,'6','12','2'
110,153,'6','9','2'
85,169,'6','1','1'
366,7,'6','9','2'
335,352,'6','9','2'
206,76,'6','12','2'
134,355,'6','12','2'
272,51,'6','1','2'
69,342,'6','12','2'
356,363,'6','3','2'
180,276,'6','8','2'
274,229,'6','8','2'
73,289,'6','3','2'
341,214,'6','3','2'
104,163,'6','10','2'
360,43,'6','7','2'
60,113,'6','12','1'
247,307,'6','11','2'
109,44,'6','9','2'
358,236,'6','10','2'
137,327,'6','9','1'
22,308,'6','5','2'
64,55,'6','2','2'
